industry-coal,industry-natural_gas,industry-oil,other-oil,transport-natural_gas,transport-oil
1594.44,156.69,1118.33,925.6,0.43,4809.06
1393.81,144.87,1245.49,992.73,0.43,5159.52
1638.98,169.04,1200.01,940.38,0.43,4866.08
1454.87,176.49,1154.35,949.5,0.43,4831.29
1898.88,181.03,1076.71,906.55,0.43,4445.37
1361.64,179.34,1033.71,861.85,0.43,4117.5
1473.77,171.42,1028.31,836.91,0.43,4277.02
1594.32,179.4,981.66,776.98,0.43,3911.27
1419.02,175.5,910.58,859.18,0.43,4455.35
940.89,143.53,910.44,1122.92,0.43,4125.59
941.28,152.03,852.82,1011.54,0.43,3707.48
1109.73,155.82,1082.65,1139.56,0.43,4149.66
1410.65,165.02,1062.08,1074.76,0.43,3996.22
1603.53,162.81,1164.65,1107.27,0.43,4065.48
1174.99,164.09,1100.63,1073.28,0.43,3908.11
1037.75,134.27,1035.28,1047.75,0.43,3759.2
1321.62,150.05,942.61,1046.7,0.43,3773.06
1357.26,165.37,925.72,1045.94,0.43,3750.21
1105.91,168.86,875.83,1079.65,0.43,3890.28
1058.66,165.48,884.22,1015.18,0.43,3605.32
1045.91,224.12,877.7,1129.63,0.43,4040.21
1160.26,190.58,877.02,1127.82,0.43,3870.18
1573.14,160.36,847.33,1075.7,0.43,3712.16
1462.33,204.15,1084.08,1212.05,0.43,4235.21
1979.78,167.46,937.44,1136.85,0.43,4021.25
1314.9,181.9,1142.32,1138.05,0.43,3892.15
1380.76,227.38,1102.48,1159.45,0.43,3962.27
1232.97,226.62,1060.17,1213.15,0.43,4167.62
1612.79,239.9,1074.99,1176.05,0.43,3947.43
997.0,249.04,1014.17,1110.79,0.43,3692.86
1058.96,255.91,1007.25,1068.17,0.43,3532.15
693.61,245.72,875.68,1129.98,0.43,3789.57
504.36,265.4,878.77,1235.12,0.43,4093.7
1211.49,238.04,1168.06,1158.1,0.43,4026.16
1244.99,270.7,1145.58,1083.81,0.43,3698.44
1315.36,253.06,1185.47,1171.93,0.43,4040.75
1064.11,273.03,1060.77,1127.83,0.43,4005.59
777.95,290.73,1194.58,1195.22,0.43,4085.74
1186.11,314.96,1148.14,1113.33,0.43,3816.79
1084.39,335.28,1066.19,1105.5,0.43,3734.97
1377.6,319.32,1034.75,1158.69,0.43,3774.7
1447.3,346.92,987.9,1050.02,0.43,3424.12
635.77,370.56,971.31,1058.66,0.43,3482.68
616.0,460.29,893.23,1102.75,0.43,3582.67
817.91,386.46,816.01,1176.59,0.43,3909.72
659.23,296.12,1044.69,1159.4,0.43,3855.61
950.05,253.33,974.69,1082.75,0.45,3594.66
999.5,305.2,1112.55,1178.43,0.39,3950.53
1080.72,294.03,1031.32,1164.26,0.44,4058.6
1245.43,321.98,1110.88,1173.53,0.56,3932.39
729.05,311.05,1049.93,1146.99,0.48,3850.98
1559.88,329.39,988.86,1156.69,0.5,3873.54
1553.03,350.63,1028.38,1163.29,0.48,3870.79
1667.28,313.62,987.53,1092.89,0.45,3638.59
1003.25,362.4,1011.97,1128.55,0.48,3819.91
1300.75,337.88,1010.42,1147.54,0.48,3863.46
1487.49,287.81,1033.49,1251.36,0.43,4242.27
2057.54,337.95,1048.51,1241.81,0.49,4137.83
1356.4,313.57,946.68,1127.69,0.41,3792.31
1428.24,291.92,1106.93,1255.12,0.53,4260.35
1345.3,353.92,1126.53,1201.41,0.45,4126.17
1587.71,366.37,1189.68,1245.31,0.45,4190.52
1607.45,351.2,1110.27,1184.51,0.41,4011.77
1462.58,389.87,1093.67,1250.66,0.4,4141.23
1476.46,375.88,1140.1,1270.96,0.45,4193.99
1479.2,365.36,1037.23,1141.65,0.47,3771.51
1325.14,386.79,1037.96,1199.47,0.54,3979.65
881.87,350.76,1058.95,1216.89,0.49,4182.27
1258.51,340.29,1020.23,1287.63,0.45,4466.17
2191.02,401.21,1028.37,1338.33,0.6,4525.76
1535.49,345.82,956.83,1172.44,0.49,4021.99
1759.56,367.54,1047.88,1322.21,0.53,4543.28
1316.96,380.43,971.74,1261.2,0.53,4381.38
1433.5,361.14,1088.25,1316.34,0.54,4507.51
1300.07,383.24,1063.86,1274.59,0.54,4353.25
912.17,397.88,1111.79,1294.58,0.62,4387.7
1285.33,366.69,1090.17,1299.26,0.53,4305.52
1762.52,418.03,1129.73,1256.46,0.6,4187.91
1569.25,417.58,1183.48,1286.97,0.54,4316.85
1463.43,361.6,1157.75,1322.49,0.5,4556.79
1452.74,421.83,1093.21,1455.53,0.59,4935.79
1735.8,417.02,1019.73,1344.6,0.54,4656.9
1754.16,404.6,1050.09,1317.27,0.5,4566.9
1992.02,444.17,1309.94,1400.52,0.63,4913.3
1829.58,415.9,1145.89,1301.49,3.53,4694.56
2001.87,445.7,1185.2,1358.29,3.83,4822.04
1947.01,446.86,1091.27,1292.71,4.89,4485.59
1758.46,440.54,1152.52,1327.28,6.0,4617.84
1793.7,464.35,1072.8,1347.7,7.1,4556.69
1757.11,464.58,1024.74,1327.29,7.98,4457.43
1669.41,469.35,1095.25,1420.21,8.62,4810.21
1757.67,483.56,1090.42,1433.02,9.96,4845.49
1729.41,457.31,1039.37,1506.62,9.2,5074.71
2219.81,497.91,839.38,1341.27,10.19,5004.95
2089.5,415.92,892.34,1289.23,9.78,4957.74
2507.59,478.13,1048.2,1405.57,11.88,5206.51
2228.87,419.45,1011.41,1309.89,10.19,4970.15
2321.06,459.42,1060.92,1378.4,10.95,5197.42
2142.53,444.1,960.01,1335.35,11.18,5008.72
2116.77,450.84,975.42,1217.43,10.95,4388.55
1926.61,508.5,929.66,1291.77,12.52,4697.58
2067.34,488.4,989.25,1169.44,11.76,4284.09
1978.84,486.91,1012.93,1192.8,11.76,4333.75
1941.69,497.83,836.9,1219.43,13.16,4497.11
2026.13,476.83,881.42,1331.29,12.58,4865.24
2051.45,510.09,840.78,1382.67,15.66,4714.48
2235.68,462.29,959.45,1302.31,13.45,4410.14
2384.59,523.66,988.01,1455.66,15.84,5001.54
1867.49,471.16,895.16,1333.99,14.27,4613.96
1925.51,552.98,899.17,1408.06,17.47,4751.66
1988.23,521.36,984.16,1315.31,17.12,4410.7
1921.83,531.72,908.76,1314.78,17.41,4373.69
1901.16,566.81,834.92,1338.66,22.59,4373.89
1933.84,532.56,721.26,1272.68,21.78,4220.86
1964.48,579.69,681.59,1313.99,25.33,4396.54
1903.65,584.92,673.76,1367.29,24.63,4607.15
2512.58,571.01,702.02,1423.3,24.22,4756.2
2462.0,678.0,765.98,1466.3,25.27,4759.06
2135.11,603.32,759.17,1341.62,26.44,4374.46
2305.29,623.75,860.89,1502.1,33.02,4953.78
2634.93,617.17,821.49,1385.21,32.96,4604.31
1792.04,664.19,794.05,1406.7,35.17,4579.63
1714.33,618.56,805.14,1408.2,37.5,4637.88
2134.96,627.45,732.16,1380.38,40.47,4479.99
2763.57,690.88,751.52,1448.5,44.43,4650.0
1767.75,636.59,823.22,1343.73,46.87,4322.87
2112.6,722.5,889.44,1414.29,53.45,4505.76
2120.85,700.31,767.99,1446.01,58.64,4498.5
2409.47,697.86,797.23,1476.13,65.8,4708.54
2572.08,733.13,769.38,1552.16,74.18,4662.45
2494.99,715.0,706.36,1436.14,78.72,4337.72
2534.08,760.3,848.89,1572.26,93.22,4716.04
2548.48,756.53,926.14,1509.31,99.28,4531.41
2585.5,787.57,757.14,1503.3,113.37,4377.83
2702.68,749.58,681.39,1371.77,125.54,3948.93
2644.73,856.9,726.25,1351.28,149.94,3740.76
2487.54,825.87,746.31,1390.78,165.14,3940.42
2485.59,840.24,695.71,1348.69,171.02,3805.23
2494.3,806.8,709.24,1434.75,192.44,4116.66
2226.05,742.36,659.47,1409.62,188.89,4079.6
2068.3,763.87,689.13,1562.63,195.3,4646.86
2195.69,826.76,690.53,1597.89,210.61,4848.9
2207.44,797.73,627.41,1365.82,216.08,4116.44
2299.86,924.42,671.14,1526.21,248.63,4679.24
2866.19,854.96,632.88,1476.0,219.99,4522.58
2732.78,914.36,671.52,1540.76,240.95,4710.14
2975.09,951.15,640.96,1429.82,247.18,4242.91
